model,valid,treatment,control,metric,n_pairs,difference,bootstrap_lo,bootstrap_hi
qwen-abliterated,False,quarantine,queue,invalid_reuse_accepted,12,0.6666666666666666,0.4166666666666667,0.9166666666666666
qwen-abliterated,False,quarantine,queue,false_blocks,12,0.0,0.0,0.0
qwen-abliterated,True,queue,log,any_invalid_reuse,12,0.0,0.0,0.0
qwen-abliterated,True,queue,log,reported,12,0.16666666666666666,0.0,0.3333333333333333
qwen-abliterated,True,queue,log,final_correct,12,-0.08333333333333333,-0.5,0.3333333333333333
qwen-abliterated,True,queue,log,invalid_reuse_accepted,12,0.0,0.0,0.0
qwen-abliterated,True,queue,log,false_blocks,12,0.0,0.0,0.0
qwen-abliterated,True,monitor,queue,any_invalid_reuse,12,0.0,0.0,0.0
qwen-abliterated,True,monitor,queue,reported,12,-0.08333333333333333,-0.25,0.0
qwen-abliterated,True,monitor,queue,final_correct,12,0.08333333333333333,-0.25,0.4166666666666667
qwen-abliterated,True,monitor,queue,invalid_reuse_accepted,12,0.0,0.0,0.0
qwen-abliterated,True,monitor,queue,false_blocks,12,0.0,0.0,0.0
qwen-abliterated,True,delegate,queue,any_invalid_reuse,12,0.0,0.0,0.0
qwen-abliterated,True,delegate,queue,reported,12,-0.08333333333333333,-0.25,0.0
qwen-abliterated,True,delegate,queue,final_correct,12,0.08333333333333333,-0.16666666666666666,0.3333333333333333
qwen-abliterated,True,delegate,queue,invalid_reuse_accepted,12,0.0,0.0,0.0
qwen-abliterated,True,delegate,queue,false_blocks,12,0.0,0.0,0.0
qwen-abliterated,True,delegate,monitor,any_invalid_reuse,12,0.0,0.0,0.0
qwen-abliterated,True,delegate,monitor,reported,12,0.0,0.0,0.0
qwen-abliterated,True,delegate,monitor,final_correct,12,0.0,-0.25,0.25
qwen-abliterated,True,delegate,monitor,invalid_reuse_accepted,12,0.0,0.0,0.0
qwen-abliterated,True,delegate,monitor,false_blocks,12,0.0,0.0,0.0
qwen-abliterated,True,quarantine,queue,any_invalid_reuse,12,0.0,0.0,0.0
qwen-abliterated,True,quarantine,queue,reported,12,-0.16666666666666666,-0.3333333333333333,0.0
qwen-abliterated,True,quarantine,queue,final_correct,12,-0.08333333333333333,-0.4166666666666667,0.25
qwen-abliterated,True,quarantine,queue,invalid_reuse_accepted,12,0.0,0.0,0.0
qwen-abliterated,True,quarantine,queue,false_blocks,12,0.0,0.0,0.0
gemma-standard,False,queue,log,any_invalid_reuse,12,0.25,0.08333333333333333,0.4166666666666667
gemma-standard,False,queue,log,reported,12,0.0,0.0,0.0
gemma-standard,False,queue,log,final_correct,12,0.0,-0.3333333333333333,0.3333333333333333
gemma-standard,False,queue,log,invalid_reuse_accepted,12,0.25,0.08333333333333333,0.4166666666666667
gemma-standard,False,queue,log,false_blocks,12,0.0,0.0,0.0
gemma-standard,False,monitor,queue,any_invalid_reuse,12,-0.25,-0.4166666666666667,-0.08333333333333333
gemma-standard,False,monitor,queue,reported,12,0.0,0.0,0.0
gemma-standard,False,monitor,queue,final_correct,12,0.08333333333333333,-0.16666666666666666,0.3333333333333333
gemma-standard,False,monitor,queue,invalid_reuse_accepted,12,-0.25,-0.4166666666666667,-0.08333333333333333
gemma-standard,False,monitor,queue,false_blocks,12,0.0,0.0,0.0
gemma-standard,False,delegate,queue,any_invalid_reuse,12,-0.25,-0.4166666666666667,-0.08333333333333333
gemma-standard,False,delegate,queue,reported,12,0.0,0.0,0.0
gemma-standard,False,delegate,queue,final_correct,12,0.16666666666666666,0.0,0.3333333333333333
gemma-standard,False,delegate,queue,invalid_reuse_accepted,12,-0.25,-0.4166666666666667,-0.08333333333333333
gemma-standard,False,delegate,queue,false_blocks,12,0.0,0.0,0.0
gemma-standard,False,delegate,monitor,any_invalid_reuse,12,0.0,0.0,0.0
gemma-standard,False,delegate,monitor,reported,12,0.0,0.0,0.0
gemma-standard,False,delegate,monitor,final_correct,12,0.08333333333333333,0.0,0.25
