run_id,scenario,condition,latency,tamper,applicable,target_index,records_clean,m,verifier,detected,expected,errors
minority_warning-monitor-l0-c0-b1-complete,minority_warning,monitor,0,T4,1,10,21,11,V3,1,D,minority_warning-monitor-l0-c0-b1-complete: invalid chain at 10; minority_warning-monitor-l0-c0-b1-complete: invalid chain at 11; minority_warning-monitor-l0-c0-b1-complete: invalid chain at 12
minority_warning-monitor-l0-c0-b1-complete,minority_warning,monitor,0,T4,1,10,21,11,V3p,1,D,invalid chain at 10; invalid chain at 11; invalid chain at 12; invalid chain at 10; checkpoint mismatch
minority_warning-monitor-l0-c0-b1-complete,minority_warning,monitor,0,T4,1,10,21,11,V4,1,D,minority_warning-monitor-l0-c0-b1-complete: invalid chain at 10; minority_warning-monitor-l0-c0-b1-complete: invalid chain at 11; minority_warning-monitor-l0-c0-b1-complete: invalid chain at 12
minority_warning-monitor-l0-c0-b1-complete,minority_warning,monitor,0,T4,1,10,21,11,V4p,1,D,invalid chain at 10; invalid chain at 11; invalid chain at 12; invalid chain at 10; checkpoint mismatch
minority_warning-monitor-l0-c0-b1-complete,minority_warning,monitor,0,T5a,1,10,21,11,V1,0,N,
minority_warning-monitor-l0-c0-b1-complete,minority_warning,monitor,0,T5a,1,10,21,11,V2,0,N,
minority_warning-monitor-l0-c0-b1-complete,minority_warning,monitor,0,T5a,1,10,21,11,V3,1,D,minority_warning-monitor-l0-c0-b1-complete: checkpoint mismatch
minority_warning-monitor-l0-c0-b1-complete,minority_warning,monitor,0,T5a,1,10,21,11,V3p,1,D,checkpoint mismatch
minority_warning-monitor-l0-c0-b1-complete,minority_warning,monitor,0,T5a,1,10,21,11,V4,1,D,minority_warning-monitor-l0-c0-b1-complete: checkpoint mismatch
minority_warning-monitor-l0-c0-b1-complete,minority_warning,monitor,0,T5a,1,10,21,11,V4p,1,D,checkpoint mismatch
minority_warning-monitor-l0-c0-b1-complete,minority_warning,monitor,0,T5b,1,11,21,11,V1,0,N,
minority_warning-monitor-l0-c0-b1-complete,minority_warning,monitor,0,T5b,1,11,21,11,V2,0,N,
minority_warning-monitor-l0-c0-b1-complete,minority_warning,monitor,0,T5b,1,11,21,11,V3,1,D,minority_warning-monitor-l0-c0-b1-complete: checkpoint mismatch
minority_warning-monitor-l0-c0-b1-complete,minority_warning,monitor,0,T5b,1,11,21,11,V3p,0,N,
minority_warning-monitor-l0-c0-b1-complete,minority_warning,monitor,0,T5b,1,11,21,11,V4,1,D,minority_warning-monitor-l0-c0-b1-complete: checkpoint mismatch; minority_warning-monitor-l0-c0-b1-complete: unauthorized mediated execution
minority_warning-monitor-l0-c0-b1-complete,minority_warning,monitor,0,T5b,1,11,21,11,V4p,1,D,unauthorized mediated execution
minority_warning-monitor-l0-c0-b1-complete,minority_warning,monitor,0,T5c,1,20,21,11,V1,0,N,
minority_warning-monitor-l0-c0-b1-complete,minority_warning,monitor,0,T5c,1,20,21,11,V2,0,N,
minority_warning-monitor-l0-c0-b1-complete,minority_warning,monitor,0,T5c,1,20,21,11,V3,1,D,minority_warning-monitor-l0-c0-b1-complete: checkpoint mismatch
minority_warning-monitor-l0-c0-b1-complete,minority_warning,monitor,0,T5c,1,20,21,11,V3p,0,N,
minority_warning-monitor-l0-c0-b1-complete,minority_warning,monitor,0,T5c,1,20,21,11,V4,1,D,minority_warning-monitor-l0-c0-b1-complete: checkpoint mismatch
minority_warning-monitor-l0-c0-b1-complete,minority_warning,monitor,0,T5c,1,20,21,11,V4p,0,N,
minority_warning-monitor-l0-c0-b1-complete,minority_warning,monitor,0,T6,1,18,21,11,V1,0,N,
